coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT022_MAPORG_NE4,MKT022,Minneapolis,MN,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,45.018245,-93.2076506,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT022_MAPORG_SE4,MKT022,Minneapolis,MN,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,44.9363255,-93.2077328,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT022_MAPORG_SW4,MKT022,Minneapolis,MN,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,44.9363255,-93.3230672,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT022_MAPORG_NW4,MKT022,Minneapolis,MN,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,45.018245,-93.3231494,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT023_MAPORG_NE4,MKT023,Milwaukee,WI,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,43.0826699,-87.8538914,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT023_MAPORG_SE4,MKT023,Milwaukee,WI,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,43.0007225,-87.8539657,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT023_MAPORG_SW4,MKT023,Milwaukee,WI,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,43.0007225,-87.9656143,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT023_MAPORG_NW4,MKT023,Milwaukee,WI,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,43.0826699,-87.9656886,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT024_MAPORG_NE4,MKT024,Detroit,MI,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,42.3704653,-82.9889972,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT024_MAPORG_SE4,MKT024,Detroit,MI,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,42.2885078,-82.9890689,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,HIGH
